72,臺中市,烏日區,東女慈聖宮,,天上聖母,東園里慶光路868巷88號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10974,NULL
73,嘉義縣,朴子市,財團法人台灣省嘉義縣朴子配天宮,,天上聖母,開元路開元里六鄰一一八號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10977,NULL
74,高雄市,新興區,財團法人高雄市鼓壽宮,,天上聖母,文橫一路90號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10980,NULL
75,嘉義縣,大林鎮,泰寧宮,,天上聖母,大埔美大美里14鄰141號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10990,NULL
76,新北市,淡水區,淡水鎮三寶宮,,天上聖母,南勢埔水源里5鄰20號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11006,NULL
77,臺南市,新化區,武聖宮,,天上聖母,礁坑子礁坑里13鄰25號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11043,NULL
78,嘉義縣,新港鄉,六興宮,,天上聖母,溪北村九鄰六十五號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11060,NULL
79,桃園縣,桃園市,桃園大樹林天后宮,,天上聖母,保羅街福安里22鄰58號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11068,NULL
80,臺中市,烏日區,仁德宮,,天上聖母,仁德村中山路一段369巷43號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11071,NULL
81,高雄市,岡山區,寶公宮,,天上聖母,劉厝路劉厝里七鄰五八號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11083,NULL
82,臺南市,善化區,慶安宮,,天上聖母,中山路東關里470號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11127,NULL
83,臺中市,沙鹿區,永天宮,,天上聖母,自強路三鹿里二九一巷一一五號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11146,NULL
84,新北市,五股區,五股聖天宮,,天上聖母,民義路１段五股里8鄰51號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11188,NULL
85,高雄市,湖內區,隆法宮,,天上聖母,中華街海埔里16號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11226,NULL
86,彰化縣,大城鄉,鎮世宮,,天上聖母,永鎮路西港村27號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11268,NULL
87,臺南市,永康區,天后宮,,天上聖母,中山東路366巷56號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11270,NULL
88,高雄市,岡山區,惠峰宮,,天上聖母,宮中街嘉峰里七鄰二號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11305,NULL
89,高雄市,岡山區,玉旨普庵立心宮,,天上聖母,本洲里州港路168巷8號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11307,NULL
90,臺中市,南區,復興宮,,天上聖母,有恆街9巷1之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11310,NULL
91,嘉義縣,民雄鄉,嘉義縣民雄鄉慶誠宮,,天上聖母,中樂路中樂村六十四號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11318,NULL
92,臺南市,中西區,金安宮,,天上聖母,信義街108巷61號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11320,NULL
93,臺南市,中西區,朝興溫陵廟,,天上聖母,濟生街64巷1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11321,NULL
94,臺中市,清水區,朝興宮,,天上聖母,中山路下湳里436號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11332,NULL
95,高雄市,梓官區,財團法人蚵子寮朝天宮天上聖母船仔媽(94年9月變動更名),,天上聖母,廣澤路信蚵里55之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11334,NULL
